Name,Amount,Date,Audit Status,URL
LiFi/Jumper - Rekt,9730000,07/16/2024,n/a,https://rekt.news/lifi-jumper-rekt/
zkLend - Rekt,9570000,02/11/2025,N/A,https://rekt.news/zklend-rekt/
Cover - REKT,9400000,12/29/2020,Arcadia Group,https://rekt.news/cover-rekt/
dYdX - REKT,9000000,11/18/2023,N/A,https://rekt.news/dydx-rekt/
Punk Protocol - REKT,8950000,08/10/2021,Unaudited,https://rekt.news/punkprotocol-rekt/
Safemoon - REKT,8900000,03/28/2023,Unaudited,https://rekt.news/safemoon-rekt/
Crema Finance - REKT,8800000,07/02/2022,Bramah Systems,https://rekt.news/crema-finance-rekt/
Polter Finance,8700000,11/16/2024,Unaudited,https://rekt.news/polter-finance-rekt/
Superfluid - REKT,8700000,02/08/2022,Peckshield,https://rekt.news/superfluid-rekt/
Platypus Finance - REKT,8500000,02/17/2023,Unaudited,https://rekt.news/platypus-finance-rekt/
Moola Market - REKT,8400000,10/19/2022,N/A,https://rekt.news/moola-markets-rekt/
Visor Finance - REKT,8200000,12/21/2021,Unaudited,https://rekt.news/visor-finance-rekt/
Bittensor - Rekt,8000000,07/02/2024,N/A,https://rekt.news/bittensor-rekt/
THORChain - REKT 2,8000000,07/22/2021,THORChain,https://rekt.news/thorchain-rekt2/
Hack Epidemic (Origin Protocol - REKT),8000000,11/17/2020,Unaudited,https://rekt.news/hack-epidemic/
LCX - REKT,7940000,01/08/2022,Unaudited,https://rekt.news/lcx-rekt/
HTX (Huobi) - REKT,7900000,09/24/2023,N/A,https://rekt.news/htx-huobi-rekt/
Anyswap - REKT,7900000,07/10/2021,Unaudited,https://rekt.news/anyswap-rekt/
Warp Finance - REKT,7800000,12/18/2020,Hacken,https://rekt.news/warp-finance-rekt/
Meter - REKT,7700000,02/06/2022,Unaudited,https://rekt.news/meter-rekt/
Rho Market - Rekt,7500000,07/19/2024,N/A,https://rekt.news/rho-market-rekt/
Nightmare on FTM Street,7500000,10/17/2023,N/A,https://rekt.news/nightmare-ftm/
Jimbo's Protocol - REKT,7500000,05/28/2023,Unaudited,https://rekt.news/jimbo-rekt/
Hundred Finance - REKT 2,7400000,04/15/2023,WhiteHatDAO,https://rekt.news/hundred-rekt2/
Exactly Protocol - REKT,7200000,08/18/2023,Out of scope,https://rekt.news/exactly-protocol-rekt/
BurgerSwap - REKT,7200000,05/28/2021,Unaudited,https://rekt.news/burgerswap-rekt/
Value DeFi - REKT,7000000,11/14/2020,Unaudited,https://rekt.news/value-defi-rekt/
Ionic Money - Rekt,6943774,02/4/2025,N/A,https://rekt.news/ionic-money-rekt/
Velocore - Rekt,6800000,06/02/2024,"Zokyo, Hacken, Scalebit",https://rekt.news/velocore-rekt/
Abracadabra - REKT,6500000,01/30/2024,Unaudited,https://rekt.news/abra-rekt/
Deus DAO - R3KT,6500000,05/05/2023,Unaudited,https://rekt.news/deus-dao-r3kt/
Lodestar Finance - REKT,6500000,12/10/2022,Unaudited,https://rekt.news/lodestar-rekt/
Alchemix - REKT,6500000,06/16/2021,Unaudited,https://rekt.news/alchemix-rekt/
Astroport - Rekt,6400000,07/30/2024,N/A,https://rekt.news/astroport-rekt/
