"Cryptocurrency","Year","FileName"
"CHEX","13/10/2017","CHEX.txt"
"Chiliz","01/02/2019","Chiliz.txt"
"Chromapolis","22/08/2018","Chromapolis.txt"
"Chronobank","01/12/2016","Chronobank.txt"
"Chronologic","11/10/2018","Chronologic.txt"
"Cindicator","04/10/2017","Cindicator.txt"
"ClearPoll","01/10/2017","ClearPoll.txt"
"Clipper Coin","25/04/2018","Clipper Coin.txt"
"CloakCoin","01/02/2018","CloakCoin.txt"
"Cloud","25/08/2018","Cloud.txt"
"Cloudbric","28/10/2018","Cloudbric.txt"
"CMITCOIN","03/08/2018","CMITCOIN.txt"
"CNNS","01/03/2019","CNNS.txt"
"Cobinhood","13/09/2017","Cobinhood.txt"
"Cocos BCX","03/08/2019","Cocos BCX.txt"
"Coimatic","01/03/2018","Coimatic.txt"
"Coinchase","30/12/2018","Coinchase.txt"
"Coinlancer","14/10/2017","Coinlancer.txt"
"CoinMeet","01/12/2017","CoinMeet.txt"
"CoinMetro","21/02/2018","CoinMetro.txt"
"CoinUs","01/05/2018","CoinUs.txt"
"ColossusXT","03/05/2018","ColossusXT.txt"
"Colu Local Network","01/01/2018","Colu Local Network.txt"
"CommerceBlock","28/11/2017","CommerceBlock.txt"
"Compound Coin","30/09/2017","Compound Coin.txt"
"CompoundEthereum","04/03/2020","CompoundEthereum.txt"
"Concierge Coin","14/03/2018","Concierge Coin.txt"
"Condominium","01/06/2018","Condominium.txt"
"Connect Coin","05/10/2018","Connect Coin.txt"
"Consentium","10/09/2018","Consentium.txt"
"Constant","01/01/2019","Constant.txt"
"Constellation","25/11/2017","Constellation.txt"
"Content and Ad Network","09/10/2017","Content and Ad Network.txt"
"ContentBox","31/03/2018","ContentBox.txt"
"Contentos","25/05/2019","Contentos.txt"
"Cortex","01/02/2018","Cortex.txt"
"Cosmo Chain","23/03/2018","Cosmo Chain.txt"
"Cosmos","14/02/2019","Cosmos.txt"
"COSS","01/03/2018","COSS.txt"
"COTI","02/10/2018","COTI.txt"
"CottonCoin","01/04/2018","CottonCoin.txt"
"Couchain","01/03/2018","Couchain.txt"
"Covesting","24/11/2017","Covesting.txt"
"CPChain","10/01/2018","CPChain.txt"
"Credit","23/02/2019","Credit.txt"
"Credits","26/11/2017","Credits.txt"
"Crowdvilla","10/08/2018","Crowdvilla.txt"
"Cruisebit","10/05/2018","Cruisebit.txt"
"Crycash","14/12/2017","Crycash.txt"
"Cryptaur","27/11/2017","Cryptaur.txt"
"Crypterium","31/10/2017","Crypterium.txt"
"Crypto.com","17/09/2019","Crypto.com.txt"
"CRYPTO20","15/10/2017","CRYPTO20.txt"
"CryptoCarbon","01/02/2018","CryptoCarbon.txt"
"Cryptocean","25/09/2018","Cryptocean.txt"
"CryptoFlow","24/08/2018","CryptoFlow.txt"
"CryptoFranc","15/06/2019","CryptoFranc.txt"
"CryptoNote Coin","17/10/2013","CryptoNote Coin.txt"
"cryptopay","25/12/2017","cryptopay.txt"
"CryptoPing","01/01/2018","CryptoPing.txt"
"CrypViser","20/05/2017","CrypViser.txt"
"Currency Analytics","10/11/2018","Currency Analytics.txt"
"Curriculum Vitae","12/05/2019","Curriculum Vitae.txt"
"Custody Token","01/05/2019","Custody Token.txt"
"Cutcoin","15/07/2019","Cutcoin.txt"
"Cybermiles","19/11/2017","Cybermiles.txt"
"CyberVein","06/05/2018","CyberVein.txt"
"CYBR Token","26/04/2019","CYBR Token.txt"
"CYCLEAN","22/07/2018","CYCLEAN.txt"
"DACC","12/06/2018","DACC.txt"
"DACH Coin","20/09/2018","DACH Coin.txt"
"DAEX","01/05/2018","DAEX.txt"
"Dai","01/12/2017","Dai.txt"
"Daneel","28/01/2018","Daneel.txt"
"DAOstack","22/04/2018","DAOstack.txt"
"Dapp Token","10/05/2019","Dapp Token.txt"
"Darcrus","20/11/2016","Darcrus.txt"
"DasCoin","16/09/2017","DasCoin.txt"
"Dash","14/02/2014","Dash.txt"
"DashCash","18/10/2018","DashCash.txt"
"DashDiamond","02/10/2019","DashDiamond.txt"
"DaTa eXchange","20/07/2018","DaTa eXchange.txt"
"Databits","22/11/2017","Databits.txt"
"Datarius","12/09/2017","Datarius.txt"
"Datawallet","11/02/2018","Datawallet.txt"
"Datum","29/10/2017","Datum.txt"
"DAV Coin","01/06/2017","DAV Coin.txt"
"Davinci Coin","16/08/2018","Davinci Coin.txt"
"DCTO","01/03/2019","DCTO.txt"
"DDKoin","01/09/2018","DDKoin.txt"
"DECENT","01/11/2015","DECENT.txt"
"DecentBet","22/09/2017","DecentBet.txt"
"Decentraland","15/08/2017","Decentraland.txt"
"Decentralized Machine Learning","31/12/2017","Decentralized Machine Learning.txt"
"Decentralized Vulnerability Platform","01/11/2019","Decentralized Vulnerability Platform.txt"
"Decred","05/02/2016","Decred.txt"
"DeepBrain Chain","31/12/2017","DeepBrain Chain.txt"
"DeepCloudAI","01/07/2019","DeepCloudAI.txt"
"DeepOnion","01/01/2018","DeepOnion.txt"
"Delizia","01/10/2018","Delizia.txt"
"Delphy","27/11/2017","Delphy.txt"
"Denarius","15/07/2017","Denarius.txt"
"DENT ICO","10/07/2017","DENT ICO.txt"
"Dentacoin","28/11/2018","Dentacoin.txt"
"Dero","02/10/2018","Dero.txt"
"DeusCoin","01/09/2017","DeusCoin.txt"
"Devery","18/11/2017","Devery.txt"
"Devify","01/06/2018","Devify.txt"
"Diamond","26/04/2018","Diamond.txt"
"Diamond Network","01/03/2019","Diamond Network.txt"
"DigiByte","06/02/2014","DigiByte.txt"
"DigiPulse","24/11/2017","DigiPulse.txt"
"Digital Fantasy Sports","19/09/2018","Digital Fantasy Sports.txt"
"Digitalbits","14/06/2019","Digitalbits.txt"
"DigitalDevelopersFund","01/08/2017","DigitalDevelopersFund.txt"
"DigitalNote","24/06/2014","DigitalNote.txt"
"DigitalPrice","04/10/2014","DigitalPrice.txt"
"Digitex Futures","05/12/2017","Digitex Futures.txt"
"Digiwage","01/07/2018","Digiwage.txt"
"DIMCOIN","29/06/2018","DIMCOIN.txt"
"Dimecoin","30/04/2018","Dimecoin.txt"
"Dimension Chain","01/03/2018","Dimension Chain.txt"
"Dinero","01/05/2018","Dinero.txt"
"Diruna","14/03/2018","Diruna.txt"
"Distributed Credit Chain","01/10/2017","Distributed Credit Chain.txt"
"district0x","17/09/2017","district0x.txt"
"Divi","27/10/2017","Divi.txt"
"DMarket","25/10/2017","DMarket.txt"
"Docademic","06/03/2018","Docademic.txt"
"Dock","12/03/2018","Dock.txt"
"DogeCash","01/10/2018","DogeCash.txt"
"DogeCoin","15/12/2013","DogeCoin.txt"
"DomRaider","05/09/2017","DomRaider.txt"
"DOS Network","01/02/2019","DOS Network.txt"
"DOWCOIN","10/11/2017","DOWCOIN.txt"
"DraftCoin","27/02/2018","DraftCoin.txt"
"Dragon Coins","01/12/2017","Dragon Coins.txt"
"Dragonchain","01/10/2017","Dragonchain.txt"
"DreamTeam","19/04/2018","DreamTeam.txt"
