coin_id,avg_volume,date,volume,previous_volume,volume_change_percentage,spike_ratio
tether,67611715520.21396,2025-01-16,97690768552.8851,46391314797.2208,110.57986603720387,1.444879305328059
tether,67611715520.21396,2025-01-16,103182950916.87012,48839337748.71678,111.27016801037843,1.5261105286704548
tether,67611715520.21396,2025-01-17,95216382534.62144,51406815812.8201,85.22131944783067,1.4082823043612092
tether,67611715520.21396,2025-01-17,58773013381.48446,35814364536.944145,64.10458245282399,0.8692726242675061
tether,67611715520.21396,2025-01-17,81601905969.78723,45467278494.16213,79.47391766644814,1.206919619505744
tether,67611715520.21396,2025-01-17,97646132237.66705,56860493277.63312,71.72930906682363,1.4442191192216336
tether,67611715520.21396,2025-01-17,105049088809.47903,59279865370.06085,77.20871691205596,1.5537113353982621
tether,67611715520.21396,2025-01-17,98298916367.06837,63145114133.869545,55.671452519147735,1.4538740159267194
tether,67611715520.21396,2025-01-18,105411664978.82639,65896298608.74471,59.96598777831479,1.5590739588216975
tether,67611715520.21396,2025-01-18,101326161142.80743,51394453994.04646,97.15388192380652,1.4986479837582856
tether,67611715520.21396,2025-01-18,111207938918.13268,40746540008.07035,172.92609113830665,1.6448027987824787
tether,67611715520.21396,2025-01-18,112794140848.47717,55623618471.28934,102.7810199127857,1.6682632585288413
tether,67611715520.21396,2025-01-18,86781590012.00171,52373113703.075485,65.69874096850894,1.283528887623869
tether,67611715520.21396,2025-01-19,114643604812.0116,46806931394.39738,144.92869196234903,1.6956174522407503
tether,67611715520.21396,2025-01-19,122095462514.76457,30433922527.454773,301.1821427376669,1.8058329325819509
tether,67611715520.21396,2025-01-19,108446847029.58824,57289104479.3834,89.29750781601928,1.6039653216189398
tether,67611715520.21396,2025-01-19,146876507355.54385,72691075616.99814,102.0557628413991,2.172352915843882
tether,67611715520.21396,2025-01-20,191735333863.85413,97426980332.2456,96.79901112607418,2.8358300390489393
tether,67611715520.21396,2025-01-20,182931991284.00888,74809650964.66884,144.52993554321506,2.705625643078343
tether,67611715520.21396,2025-01-20,249469483644.24158,120420464009.62524,107.16535656622399,3.6897375214456343
tether,67611715520.21396,2025-01-20,216576441316.09573,144300954962.32684,50.086630662034146,3.203238368524248
tether,67611715520.21396,2025-01-21,206457464803.00055,130372423903.78325,58.35976552477783,3.053575304434861
tether,67611715520.21396,2025-01-21,198279577615.98505,106355345094.52248,86.43122961028958,2.932621603968992
tether,67611715520.21396,2025-01-21,178036114545.457,117135086400.7392,51.99213149198094,2.6332139803822803
tether,67611715520.21396,2025-01-21,194378591797.58066,122909608267.36461,58.14759687033576,2.8749247124112247
tether,67611715520.21396,2025-01-21,143665969513.2394,94267859236.17194,52.40185857335425,2.124867981944452
tether,67611715520.21396,2025-01-22,123379368204.40245,67982520034.00262,81.4869000776849,1.8248223293123744
tether,67611715520.21396,2025-01-22,115046607599.99542,60481456783.05731,90.2179836915295,1.7015779989430944
tether,67611715520.21396,2025-01-22,91686451905.69489,56749477157.90091,61.563518286846275,1.3560734437848019
tether,67611715520.21396,2025-01-23,89121126375.43869,46082181500.63567,93.39606649092627,1.318131416866564
tether,67611715520.21396,2025-01-23,125486756863.51141,71814509876.81494,74.73732965491472,1.85599131597237
tether,67611715520.21396,2025-01-24,145253643491.57727,68954360645.6475,110.65186034865495,2.14835021377546
tether,67611715520.21396,2025-01-24,125019017781.27303,68646729890.09542,82.11940755434468,1.8490732977171085
tether,67611715520.21396,2025-01-24,123609780567.29854,73215591909.43864,68.82985897347268,1.8282302056119664
tether,67611715520.21396,2025-01-24,141105567313.8096,83330621980.54044,69.3321902082537,2.086998772744098
tether,67611715520.21396,2025-01-24,93032246716.89938,49763016927.53771,86.95057587116965,1.3759782014270208
tether,67611715520.21396,2025-01-25,70811029264.31165,44272123089.145386,59.944959318368575,1.0473189257140085
tether,67611715520.21396,2025-01-25,57720765105.71716,33039061908.091484,74.70461257733521,0.853709518559107
tether,67611715520.21396,2025-01-25,53384495445.221214,34747523867.478966,53.635394708470244,0.7895746326575722
tether,67611715520.21396,2025-01-26,44897388225.058304,26745191049.353413,67.87088244091544,0.664047463958155
tether,67611715520.21396,2025-01-26,47984654659.25182,28191912778.57505,70.20716201888445,0.7097091722943458
tether,67611715520.21396,2025-01-26,47413391517.73382,28500121616.546776,66.3620673471311,0.7012599984030664
tether,67611715520.21396,2025-01-27,46143790186.06545,30363831137.91619,51.96959163840288,0.6824821679353749
tether,67611715520.21396,2025-01-27,75520425214.2642,46143790186.06545,63.66324679820068,1.1169724748617829
tether,67611715520.21396,2025-01-27,114164382800.31456,75584012540.49084,51.043030084114626,1.6885295975988466
tether,67611715520.21396,2025-01-27,134270267062.30963,72777707479.19179,84.49367493569301,1.9859023843606909
tether,67611715520.21396,2025-01-28,137990763550.42902,71627587562.01067,92.65030171645148,2.0409297780526474
tether,67611715520.21396,2025-01-28,111982889245.41327,68884186299.95946,62.56690433676383,1.6562645746199651
tether,67611715520.21396,2025-01-28,98935236632.14555,51688397143.33978,91.40705090502827,1.4632854065441774
tether,67611715520.21396,2025-01-28,78065250138.3063,45461982316.36777,71.7154557736923,1.154611290922903
tether,67611715520.21396,2025-01-28,73409043428.629,40917592609.107925,79.40704412871234,1.0857444285181879
tether,67611715520.21396,2025-01-29,73603516719.78151,34240126631.59226,114.96274681376302,1.0886207538658914
tether,67611715520.21396,2025-01-29,65511930030.805,43188133079.96439,51.689654909387464,0.968943466775648
tether,67611715520.21396,2025-01-29,65158758375.73648,33132159593.35881,96.66317914512659,0.9637199392796931
tether,67611715520.21396,2025-01-30,78623620989.84387,40153778133.548546,95.80628435099538,1.1628697835116708
tether,67611715520.21396,2025-01-30,85204071004.59718,48980248992.33279,73.95597767976794,1.2601968512265247
tether,67611715520.21396,2025-01-30,90987288322.84589,57635041065.11587,57.86800293947698,1.345732579372924
tether,67611715520.21396,2025-01-31,68513260459.53851,35437716767.93942,93.33429664273011,1.0133341527039794
tether,67611715520.21396,2025-01-31,66806050425.43485,35141656139.70228,90.10501428803987,0.9880839424265424
tether,67611715520.21396,2025-01-31,56939564251.841896,32294310052.694355,76.3145401122801,0.8421552953321914
tether,67611715520.21396,2025-01-31,65635761350.085526,31895947029.42623,105.78088272322488,0.9707749736132981
tether,67611715520.21396,2025-02-01,82033224805.7406,42145513977.2974,94.64283873707076,1.2132989700759038
tether,67611715520.21396,2025-02-01,69943586851.73827,43028408431.89641,62.55211243158597,1.0344891608441313
tether,67611715520.21396,2025-02-02,75202343128.0576,48103277970.12105,56.33517361284384,1.1122679338845392
tether,67611715520.21396,2025-02-02,81482835693.31696,46783059511.80642,74.17166928288115,1.2051585300916663
tether,67611715520.21396,2025-02-02,110542562501.0928,59008809898.34558,87.33230290786133,1.6349616579103625
tether,67611715520.21396,2025-02-03,234163603740.3289,135490316083.5577,72.82681929527627,3.463358412645523
tether,67611715520.21396,2025-02-03,229158574574.8514,119250350133.97493,92.16595533463608,3.389332348864001
tether,67611715520.21396,2025-02-03,222978947551.7071,143809695758.71426,55.05140065508796,3.297933587930376
tether,67611715520.21396,2025-02-04,253514558354.62592,148161841521.22083,71.10651146861974,3.7495655361507927
tether,67611715520.21396,2025-02-04,165066519108.42444,106923716274.08138,54.377835769665495,2.441389304181674
